test,domain,skill,difficulty,question_text_latex,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,explanation_latex
Math,Algebra,Linear equations in two variables,Medium,"A city is planning to build a rock retaining wall, a monument, and a garden in a park. The table above shows four rock types that will be considered for use in the project. Also shown for each rock type is its weight per volume, in pounds per cubic foot (lb/ft3), and the cost per pound, in dollars. The equation [Math: 0 . 0 3 times, open parenthesis, 120 w, close parenthesis, +, 0 . 1 8 times, open parenthesis, 180 z, close parenthesis, + 3,385 . 8 0, = 7,576 . 2 0.] gives the total cost, in dollars, of the rocks used in the project in terms of the number of ft3 of limestone, w, and the number of ft3 of basalt, z. All four rock types are used in the project. Which of the following is the best interpretation of 3,385.80 in this context?",The cost of the granite and sandstone needed for the project,The cost of the basalt and limestone needed for the project,The cost of the basalt needed for the project,The cost of the sandstone needed for the project,A,,"Choice A is correct. The table shows the cost of limestone is $0.03/lb, and the weight per volume for limestone is 120 lb/ft3. Therefore, the term [Math: 0 . 0 3 times 120 w] represents the cost, in dollars, of w ft3 of limestone. Similarly, the term [Math: 0 . 1 8 times 180 z] represents the cost, in dollars, of z ft3 of basalt. The given equation shows that the total cost of all the rocks used in the project is $7,576.20. Since it’s given that all four rock types are used in the project, the remaining term, 3,385.80, represents the cost, in dollars, of the granite and sandstone needed for the project.Choice B is incorrect. The cost of basalt and limestone needed for the project can be represented by [Math: 0 . 1 8 times 180 z, +, 0 . 0 3 times 120 w]. Choice C is incorrect. The cost of the basalt needed for the project can be represented by the expression [Math: 0 . 1 8 times 180 z]. Choice D is incorrect and may result from neglecting to include granite in the rock types used for the project."
Math,Algebra,Linear equations in one variable,Easy,"If $2 x + 3 = 9$, what is the value of $6 x - 1$?",,,,,17,17,"The correct answer is $17$. It’s given that $2 x + 3 = 9$. Multiplying each side of this equation by $3$ yields $3 \left(2 x + 3\right) = 3 \left(9\right)$, or $6 x + 9 = 27$. Subtracting $10$ from each side of this equation yields $6 x + 9 - 10 = 27 - 10$, or $6 x - 1 = 17$. Therefore, the value of $6 x - 1$ is $17$."
Math,Algebra,Systems of two linear equations in two variables,Medium,$y = 2 x + 10$ $y = 2 x - 1$ At how many points do the graphs of the given equations intersect in the xy-plane?,Zero,Exactly one,Exactly two,Infinitely many,A,,"Choice A is correct. A system of two linear equations in two variables, $x$ and $y$, has zero points of intersection if the lines represented by the equations in the xy-plane are distinct and parallel. The graphs of two lines in the xy-plane represented by equations in slope-intercept form, $y = m x + b$, are distinct if the y-coordinates of their y-intercepts, $b$, are different and are parallel if their slopes, $m$, are the same. For the two equations in the given system, $y = 2 x + 10$ and $y = 2 x - 1$, the values of $b$ are $10$ and $- 1$, respectively, and the values of $m$ are both $2$. Since the values of $b$ are different, the graphs of these lines have different y-coordinates of the y-intercept and are distinct. Since the values of $m$ are the same, the graphs of these lines have the same slope and are parallel. Therefore, the graphs of the given equations are lines that intersect at zero points in the xy-plane. Choice B is incorrect. The graphs of a system of two linear equations have exactly one point of intersection if the lines represented by the equations have different slopes. Since the given equations represent lines with the same slope, there is not exactly one intersection point. Choice C is incorrect. The graphs of a system of two linear equations can never have exactly two intersection points. Choice D is incorrect. The graphs of a system of two linear equations have infinitely many intersection points when the lines represented by the equations have the same slope and the same y-coordinate of the y-intercept. Since the given equations represent lines with different y-coordinates of their y-intercepts, there are not infinitely many intersection points."
Math,Algebra,Linear equations in two variables,Medium,"Last week, an interior designer earned a total of $\$ 1,258$ from consulting for $x$ hours and drawing up plans for $y$ hours. The equation $68 x + 85 y = 1,258$ represents this situation. Which of the following is the best interpretation of $68$ in this context?",The interior designer earned $\$ 68$ per hour consulting last week.,The interior designer worked $68$ hours drawing up plans last week.,The interior designer earned $\$ 68$ per hour drawing up plans last week.,The interior designer worked $68$ hours consulting last week.,A,,"Choice A is correct. It's given that $68 x + 85 y = 1,258$ represents the situation where an interior designer earned a total of $\$ 1,258$ last week from consulting for $x$ hours and drawing up plans for $y$ hours. Thus, $68 x$ represents the amount earned, in dollars, from consulting for $x$ hours, and $85 y$ represents the amount earned, in dollars, from drawing up plans for $y$ hours. Since $68 x$ represents the amount earned, in dollars, from consulting for $x$ hours, it follows that the interior designer earned $\$ 68$ per hour consulting last week. Choice B is incorrect. The interior designer worked $y$ hours, not $68$ hours, drawing up plans last week. Choice C is incorrect. The interior designer earned $\$ 85$ per hour, not $\$ 68$ per hour, drawing up plans last week. Choice D is incorrect. The interior designer worked $x$ hours, not $68$ hours, consulting last week."
Math,Algebra,Linear functions,Hard,"The table above shows the population of Greenleaf, Idaho, for the years 2000 and 2010. If the relationship between population and year is linear, which of the following functions P models the population of Greenleaf t years after 2000?","[Math: P of t =, 862 minus 1 . 6 times t]","[Math: P of t =, 862 minus 16 times t]","[Math: P of t =, 862 + 16 times, open parenthesis, t minus 2,000, close parenthesis]","[Math: P of t =, 862 minus 1 . 6 times, open parenthesis, t minus 2,000, close parenthesis]",A,,"Choice A is correct. It is given that the relationship between population and year is linear; therefore, the function that models the population t years after 2000 is of the form [Math: P of t =, m, t + b], where m is the slope and b is the population when [Math: t = 0]. In the year 2000, [Math: t = 0]. Therefore, [Math: b = 862]. The slope is given by [Math: m =, the fraction with numerator P of 10, minus P of 0, and denominator 10 minus 0, end fraction, which = the fraction with numerator 846 minus 862, and denominator 10 minus 0, end fraction, which = - 16 over 10, which = - 1 . 6]. Therefore, [Math: P of t =, - 1 . 6, t, + 862], which is equivalent to the equation in choice A.Choice B is incorrect and may be the result of incorrectly calculating the slope as just the change in the value of P. Choice C is incorrect and may be the result of the same error as in choice B, in addition to incorrectly using t to represent the year, instead of the number of years after 2000. Choice D is incorrect and may be the result of incorrectly using t to represent the year instead of the number of years after 2000."
Math,Algebra,Linear functions,Hard,"A linear function $f$ gives a company’s profit, in dollars, for selling $x$ items. The company’s profit is $\$ 220$ when it sells $8$ items, and its profit is $\$ 320$ when it sells $10$ items. Which equation defines $f$?",$f ( x ) = 150 x - 320$,$f ( x ) = 32 x$,$f ( x ) = 50 x - 10 x$,$f ( x ) = 50 x - 180$,D,,"Choice D is correct. It’s given that the relationship between $x$ and $f \left(x\right)$ is linear. A linear function can be written in the form $f \left(x\right) = m x + b$, where $m$ is the slope and $b$ is the y-coordinate of the y-intercept of the graph of $y = f \left(x\right)$ in the xy-plane. Given two points on a line, $\left(x_{1} , y_{1}\right)$ and $\left(x_{2} , y_{2}\right)$, the slope of the line can be found using the slope formula $m = \frac{y_{2} - y_{1}}{x_{2} - x_{1}}$. It’s given that the company’s profit is $\$ 220$ when it sells $8$ items and the profit is $\$ 320$ when it sells $10$ items. Since $f \left(x\right)$ represents the company's profit, in dollars, for selling $x$ items, the graph of $y = f \left(x\right)$ in the xy-plane passes through the points $\left(8 , 220\right)$ and $\left(10 , 320\right)$. Substituting $\left(8 , 220\right)$ and $\left(10 , 320\right)$ for $\left(x_{1} , y_{1}\right)$ and $\left(x_{2} , y_{2}\right)$, respectively, in the slope formula yields $m = \frac{320 - 220}{10 - 8}$, which gives $m = \frac{100}{2}$, or $m = 50$. Substituting $50$ for $m$, $8$ for $x$, and $220$ for $f \left(x\right)$ in $f \left(x\right) = m x + b$ yields $220 = \left(50\right) \left(8\right) + b$, or $220 = 400 + b$. Subtracting $400$ from each side of this equation yields $- 180 = b$. Substituting $50$ for $m$ and $- 180$ for $b$ in $f \left(x\right) = m x + b$ yields $f \left(x\right) = 50 x - 180$. Therefore, the equation that defines $f$ is $f \left(x\right) = 50 x - 180$. Choice A is incorrect and may result from conceptual or calculation errors. Choice B is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors."
Math,Algebra,Systems of two linear equations in two variables,Medium,"In the xy-plane, the graph of [Math: y =, x + 3] intersects the graph of [Math: y =, 2 x minus 6] at the point [Math: with coordinates a, , b]. What is the value of a ?",3,6,9,12,C,,"Choice C is correct. Since the graph of [Math: y =, x + 3] intersects the graph of [Math: y =, 2 x minus 6] at the point [Math: with coordinates a, , b], the ordered pair [Math: a, , b] is the solution to the system of linear equations consisting of [Math: y =, x + 3] and [Math: y =, 2 x minus 6], and the value of a is the value of x in the solution of this system. Since both [Math: x + 3]and [Math: 2 x minus 6] are equal to y, it follows that [Math: x + 3, =, 2 x minus 6]. Subtracting x from and adding 6 to both sides of the equation yields [Math: 9 = x]. Therefore, the value of a is 9.Choices A and B are incorrect and may result from a calculation or conceptual error in solving the system of equations consisting of [Math: y =, x + 3] and [Math: y =, 2 x minus 6]. Choice D is incorrect. This is the value of b, not a."
Math,Algebra,Systems of two linear equations in two variables,Hard,"$\frac{7}{8} y - \frac{5}{8} x = \frac{4}{7} - \frac{7}{8} y$ $\frac{5}{4} x + \frac{7}{4} = p y + \frac{15}{4}$ In the given system of equations, $p$ is a constant. If the system has no solution, what is the value of $p$?",,,,,"3.5, 7/2","3.5, 7/2","The correct answer is $\frac{7}{2}$. A system of two linear equations in two variables, $x$ and $y$, has no solution if the lines represented by the equations in the xy-plane are distinct and parallel. Two lines represented by equations in standard form $A x + B y = C$, where $A$, $B$, and $C$ are constants, are parallel if the coefficients for $x$ and $y$ in one equation are proportional to the corresponding coefficients in the other equation. The first equation in the given system, $\frac{7}{8} y - \frac{5}{8} x = \frac{4}{7} - \frac{7}{8} y$, can be written in standard form by adding $\frac{7}{8} y$ to both sides of the equation, which yields $\frac{14}{8} y - \frac{5}{8} x = \frac{4}{7}$, or $- \frac{5}{8} x + \frac{14}{8} y = \frac{4}{7}$. Multiplying each term in this equation by $- 8$ yields $5 x - 14 y = - \frac{32}{7}$. The second equation in the given system, $\frac{5}{4} x + \frac{7}{4} = p y + \frac{15}{4}$, can be written in standard form by subtracting $\frac{7}{4}$ and $p y$ from both sides of the equation, which yields $\frac{5}{4} x - p y = \frac{8}{4}$. Multiplying each term in this equation by $4$ yields $5 x - 4 p y = 8$. The coefficient of $x$ in the first equation, $5 x - 14 y = - \frac{32}{7}$, is equal to the coefficient of $x$ in the second equation, $5 x - 4 p y = 8$. For the lines to be parallel, and for the coefficients for $x$ and $y$ in one equation to be proportional to the corresponding coefficients in the other equation, the coefficient of $y$ in the second equation must also be equal to the coefficient of $y$ in the first equation. Therefore, $- 14 = - 4 p$. Dividing both sides of this equation by $- 4$ yields $\frac{- 14}{- 4} = p$, or $p = \frac{7}{2}$. Therefore, if the given system of equations has no solution, the value of $p$ is $\frac{7}{2}$. Note that 7/2 and 3.5 are examples of ways to enter a correct answer."
Math,Algebra,Linear equations in one variable,Hard,"A factory makes $9$-inch, $7$-inch, and $4$-inch concrete screws. During a certain day, the number of $9$-inch concrete screws that the factory makes is $5$ times the number $n$ of $7$-inch concrete screws, and the number of $4$-inch concrete screws is $22$. During this day, the factory makes $100$ concrete screws total. Which equation represents this situation?",$9 ( 5 n ) + 7 n + 4 \left(22\right) = 100$,$9 n + 7 n + 4 n = 100$,$5 n + 22 = 100$,$6 n + 22 = 100$,D,,"Choice D is correct. It's given that during a certain day at a factory, the number of $7$-inch concrete screws the factory makes is $n$ and the number of $4$-inch concrete screws the factory makes is $22$. It's also given that during this day the number of $9$-inch concrete screws the factory makes is $5$ times the number of $7$-inch concrete screws, or $5 n$. Therefore, the total number of $7$-inch, $9$-inch, and $4$-inch concrete screws is $n + 5 n + 22$, or $6 n + 22$. It's given that during this day, the factory makes $100$ concrete screws total. Thus, the equation $6 n + 22 = 100$ represents this situation. Choice A is incorrect. This equation represents a situation where the total length, in inches, of all the concrete screws, rather than the total number of concrete screws, is $100$. Choice B is incorrect and may result from conceptual or calculation errors. Choice C is incorrect. This equation represents a situation where the total number of $9$-inch concrete screws and $4$-inch concrete screws, not including the $7$-inch concrete screws, is $100$."
Math,Algebra,Linear equations in two variables,Hard,Line $k$ is defined by $y = 7 x + \frac{1}{8}$. Line $j$ is perpendicular to line $k$ in the xy-plane. What is the slope of line $j$?,$- 8$,$- \frac{1}{7}$,$\frac{1}{8}$,$7$,B,,"Choice B is correct. It's given that line $k$ is defined by $y = 7 x + \frac{1}{8}$. For an equation in slope-intercept form $y = m x + b$, $m$ represents the slope of the line defined by this equation in the xy-plane and $b$ represents the y-coordinate of the y-intercept of this line. Therefore, the slope of line $k$ is $7$. It’s also given that line $j$ is perpendicular to line $k$ in the xy-plane. Therefore, the slope of line $j$ is the opposite reciprocal of the slope of line $k$. The opposite reciprocal of $7$ is $- \frac{1}{7}$. Therefore, the slope of line $j$ is $- \frac{1}{7}$. Choice A is incorrect. This is the opposite reciprocal of the y-coordinate of the y-intercept, not the slope, of line $k$. Choice C is incorrect. This is the y-coordinate of the y-intercept of line $k$, not the slope of line $j$. Choice D is incorrect. This is the slope of a line that is parallel, not perpendicular, to line $k$."
