test,domain,skill,difficulty,question_text_latex,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,step_1,step_2,step_3,step_4,step_5,step_6
Math,Algebra,Linear equations in one variable,Easy,What value of $y$ is the solution to the equation $4 y + 5 = 29$?,$5$,$6$,$8.5$,$24$,B,,"The given equation is $4 y + 5 = 29$. To solve for $y$, we need to isolate the variable term.",Subtract $5$ from both sides of the equation: $4y + 5 - 5 = 29 - 5$.,This simplifies to $4y = 24$.,"Now, divide both sides by $4$ to find the value of $y$: $\frac{4y}{4} = \frac{24}{4}$.",This gives the solution $y = 6$.,
Math,Algebra,Linear equations in one variable,Easy,"If $x - 8 = 3$, what is the value of $x + 8$?",,,,,19,19,"The problem asks for the value of $x+8$, given the equation $x-8=3$. First, we must solve for $x$.","To solve for $x$ in $x - 8 = 3$, add $8$ to both sides of the equation: $x - 8 + 8 = 3 + 8$.",This simplifies to $x = 11$.,"Now, substitute the value of $x=11$ into the expression $x + 8$.","The expression becomes $11 + 8$, which equals $19$.",
Math,Algebra,Linear equations in one variable,Easy,A soft pretzel costs $\$3. A customer buys $n$ pretzels and pays a total of $\$21$. What is the value of $n$?,$63$,$24$,$18$,$7$,D,,"The total cost is the price per pretzel multiplied by the number of pretzels, $n$. This can be written as the equation $3n = 21$.","To find the number of pretzels, $n$, we need to solve for $n$.",Divide both sides of the equation by $3$: $\frac{3n}{3} = \frac{21}{3}$.,"This simplifies to $n = 7$. So, the customer bought $7$ pretzels.",,
Math,Algebra,Linear equations in one variable,Easy,$10z - 3z + 5 = 26$. What value of $z$ is the solution to the given equation?,,,,,3,3,"The given equation is $10z - 3z + 5 = 26$. First, simplify the equation by combining like terms.",Combine the terms with $z$ on the left side: $10z - 3z = 7z$. The equation becomes $7z + 5 = 26$.,"Next, subtract $5$ from both sides of the equation: $7z + 5 - 5 = 26 - 5$.",This simplifies to $7z = 21$.,"Finally, divide both sides by $7$ to solve for $z$: $\frac{7z}{7} = \frac{21}{7}$.",The solution is $z=3$.
Math,Algebra,Linear equations in one variable,Easy,What value of $k$ is the solution to the equation $9k = 5k + 12$?,$1$,$3$,$12$,$0.86$,B,,"The given equation is $9k = 5k + 12$. To solve for $k$, we first need to gather all terms with $k$ on one side of the equation.",Subtract $5k$ from both sides of the equation: $9k - 5k = 5k - 5k + 12$.,This simplifies to $4k = 12$.,"Now, divide both sides by $4$ to solve for $k$: $\frac{4k}{4} = \frac{12}{4}$.",The solution is $k=3$.,
Math,Algebra,Linear equations in one variable,Easy,What is the solution to the equation $3(x + 2) = 15$?,$3$,$5$,$5.67$,$10$,A,,The given equation is $3(x + 2) = 15$. There are two common ways to solve this. One way is to first divide both sides by 3.,"Dividing both sides by 3 gives $\frac{3(x+2)}{3} = \frac{15}{3}$, which simplifies to $x+2 = 5$.","Now, subtract 2 from both sides to solve for $x$: $x + 2 - 2 = 5 - 2$.",This gives the solution $x = 3$.,"Alternatively, you could first distribute the 3 to get $3x + 6 = 15$. Subtracting 6 gives $3x = 9$. Dividing by 3 also gives $x=3$.",
Math,Algebra,Linear equations in one variable,Easy,What value of $m$ satisfies the equation $\frac{m}{5} = 4$?,$0.8$,$1$,$9$,$20$,D,,The given equation is $\frac{m}{5} = 4$.,"To solve for $m$, we need to undo the division by 5.",Multiply both sides of the equation by 5: $5 \times \frac{m}{5} = 4 \times 5$.,This simplifies to $m = 20$.,"So, the value of $m$ that satisfies the equation is 20.",
Math,Algebra,Linear equations in one variable,Easy,$100 - x = 75$. What value of $x$ is the solution to the given equation?,,,,,25,25,The given equation is $100 - x = 75$.,"To solve for $x$, we can first subtract 100 from both sides: $100 - 100 - x = 75 - 100$.",This simplifies to $-x = -25$.,"To get a positive $x$, multiply both sides of the equation by -1: $(-1)(-x) = (-1)(-25)$.",This gives the solution $x = 25$.,
Math,Algebra,Linear equations in one variable,Easy,"The perimeter of a square is 36 inches. What is the length of one side of the square, in inches?",4,9,12,32,B,,The perimeter of a square is the sum of the lengths of its four equal sides. Let $s$ be the length of one side.,The formula for the perimeter $P$ of a square is $P = 4s$.,"We are given that the perimeter is 36 inches. So, we can set up the equation $36 = 4s$.","To find the side length $s$, divide both sides of the equation by 4: $\frac{36}{4} = \frac{4s}{4}$.",This simplifies to $9 = s$. The length of one side is 9 inches.,
Math,Algebra,Linear equations in one variable,Easy,$2x + 3x = 50$. What value of $x$ is the solution to this equation?,,,,,10,10,The given equation is $2x + 3x = 50$.,"First, combine the like terms on the left side of the equation: $2x + 3x = 5x$.",The equation now simplifies to $5x = 50$.,"To solve for $x$, divide both sides by 5: $\frac{5x}{5} = \frac{50}{5}$.",This gives the solution $x = 10$.,
