test,domain,skill,difficulty,question_text_latex,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,step_1,step_2,step_3,step_4,step_5,step_6
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,"$10, 12, 15, 18, 20$

What is the mean of the data shown?",12,15,16,75,B,,The mean of a data set is calculated by summing all the data values and then dividing by the count of the data values.,"First, find the sum of the numbers in the data set: $10 + 12 + 15 + 18 + 20 = 75$.","Next, count how many numbers are in the data set. There are 5 numbers.",Divide the sum of the numbers by the count of the numbers: $\frac{75}{5} = 15$.,"Thus, the mean of the data is 15.",
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,"$3, 5, 10, 12, 15, 17$

What is the median of the data shown?",10,10.5,11,12,C,,"The median is the middle value in a data set that is ordered from least to greatest. If there is an even number of values, the median is the average of the two middle values.","The data set is already ordered: $3, 5, 10, 12, 15, 17$.","There are 6 values in the data set, which is an even number. The two middle values are the 3rd and 4th values.",The 3rd value is 10 and the 4th value is 12.,Find the average of these two middle values: $\frac{10 + 12}{2} = \frac{22}{2} = 11$.,"So, the median of the data set is 11."
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,"$25, 13, 42, 18, 30$

What is the range of the data shown?",13,29,42,17,B,,The range of a data set is the difference between the highest value (maximum) and the lowest value (minimum).,"First, identify the maximum value in the data set. The values are $25, 13, 42, 18, 30$. The maximum value is 42.","Next, identify the minimum value in the data set. The minimum value is 13.",Subtract the minimum value from the maximum value: $42 - 13 = 29$.,The range of the data is 29.,
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,"$5, 10, 8, 10, 7, 10, 8$

What is the mode of the data set shown?",5,8,9,10,D,,The mode of a data set is the value that appears most frequently.,"Let's count the frequency of each number in the set: $5, 10, 8, 10, 7, 10, 8$.","The number 5 appears 1 time.
The number 7 appears 1 time.
The number 8 appears 2 times.
The number 10 appears 3 times.",The number 10 appears more often than any other number.,"Therefore, the mode of the data set is 10.",
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,"The mean of the data set $6, 8, 10, 11, x$ is 10. What is the value of $x$?",10,12,15,16,C,,The mean is the sum of the values divided by the number of values. The formula is Mean = $\frac{\text{Sum of values}}{\text{Number of values}}$.,"We are given that the mean is 10 and there are 5 values in the set ($6, 8, 10, 11, x$).",We can set up the equation: $10 = \frac{6 + 8 + 10 + 11 + x}{5}$.,"First, sum the known numbers in the numerator: $6 + 8 + 10 + 11 = 35$. The equation becomes $10 = \frac{35 + x}{5}$.","To solve for $x$, first multiply both sides by 5: $10 \times 5 = 35 + x$, which simplifies to $50 = 35 + x$.",Subtract 35 from both sides to find $x$: $x = 50 - 35 = 15$.
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,A basketball player scored a total of 150 points in 10 games. Which of the following must be true based on this information?,The player scored 15 points in every game.,The average number of points scored per game is 15.,The median number of points scored is 15.,The highest number of points scored in a game was more than 15.,B,,The average (or mean) is calculated by dividing the total sum by the number of items.,"In this case, the total sum of points is 150, and the number of games is 10.",The average points per game is $\frac{\text{Total points}}{\text{Number of games}} = \frac{150}{10} = 15$.,"So, the statement 'The average number of points scored per game is 15' must be true. This corresponds to option B.","Options A, C, and D are not necessarily true. For example, the player could have scored 0 points in 9 games and 150 points in one game. In this case, the median would be 0 and the highest score would be 150. Or the player could have scored 15 points in every game, in which case the median is 15 and the highest score is 15. Since we don't know the individual game scores, we can only be certain about the average.",
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,"Data set P: $3, 5, 8, 11, 12$
Data set Q: $2, 4, 7, 10, 13$

Which statement correctly compares the medians of data set P and data set Q?",The median of data set P is greater than the median of data set Q.,The median of data set P is less than the median of data set Q.,The medians of data set P and data set Q are equal.,There is not enough information to compare the medians.,A,,The median is the middle value of a data set when it is arranged in order. Both data sets are already ordered.,"Find the median of data set P. Data set P is $3, 5, 8, 11, 12$. It has 5 values, so the median is the middle (3rd) value, which is 8.","Find the median of data set Q. Data set Q is $2, 4, 7, 10, 13$. It has 5 values, so the median is the middle (3rd) value, which is 7.","Compare the two medians. The median of P is 8, and the median of Q is 7.","Since $8 > 7$, the median of data set P is greater than the median of data set Q.",
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,"The table below shows the frequency of scores on a recent quiz.

| Score | Frequency |
|---|---|
| 1 | 3 |
| 2 | 2 |
| 3 | 1 |
| 4 | 4 |

What is the median score?",2,2.5,2.6,3,B,,"To find the median, we first need to know the total number of scores. We can find this by summing the frequencies: $3 + 2 + 1 + 4 = 10$.","Since there are 10 scores (an even number), the median will be the average of the two middle scores, which are the 5th and 6th scores when listed in order.","Let's list the scores in order using the frequency table:
Scores of 1: 1, 1, 1 (These are the 1st, 2nd, and 3rd scores)
Scores of 2: 2, 2 (These are the 4th and 5th scores)
Score of 3: 3 (This is the 6th score)
Scores of 4: 4, 4, 4, 4","The full list is: $1, 1, 1, 2, 2, 3, 4, 4, 4, 4$.",The 5th score in the list is 2. The 6th score in the list is 3.,The median is the average of these two scores: $\frac{2 + 3}{2} = \frac{5}{2} = 2.5$.
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,"Data set A: $10, 20, 30$
Data set B: $10, 20, 30, 100$

Which statement correctly compares the mean of data set A and the mean of data set B?",The mean of data set A is greater than the mean of data set B.,The mean of data set A is less than the mean of data set B.,The means of data set A and data set B are equal.,The relationship cannot be determined from the information given.,B,,Calculate the mean of data set A. The mean is the sum of the values divided by the number of values.,Mean of A = $\frac{10 + 20 + 30}{3} = \frac{60}{3} = 20$.,Calculate the mean of data set B.,Mean of B = $\frac{10 + 20 + 30 + 100}{4} = \frac{160}{4} = 40$.,"Compare the two means. The mean of A is 20, and the mean of B is 40.","Since $20 < 40$, the mean of data set A is less than the mean of data set B."
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,"19, 12, 25, 12, 18, 21, 15

What is the median of the data shown?",12,17.4,18,25,C,,The median is the middle value of a data set that has been arranged in numerical order.,"First, arrange the data set in order from least to greatest: $12, 12, 15, 18, 19, 21, 25$.",Count the number of values in the data set. There are 7 values.,"Since there is an odd number of values, the median is the middle value. For a set of 7 values, the middle value is the 4th value.","In the ordered list, the 4th value is 18.","Therefore, the median of the data set is 18."
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,"A student has scores of 85, 92, and 88 on three math tests. What score does the student need on the fourth test to have a mean score of 90?",90,93,95,98,C,,The mean is the sum of the scores divided by the number of tests. The student wants a mean of 90 over 4 tests.,Let $x$ be the score on the fourth test. The sum of the four scores will be $85 + 92 + 88 + x$.,The mean is calculated as $\frac{85 + 92 + 88 + x}{4}$. We want this mean to be 90.,Set up the equation: $\frac{85 + 92 + 88 + x}{4} = 90$.,Sum the known scores: $85 + 92 + 88 = 265$. The equation is now $\frac{265 + x}{4} = 90$.,Solve for $x$. Multiply both sides by 4: $265 + x = 360$. Subtract 265 from both sides: $x = 360 - 265 = 95$.
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,"$2, 4, 4, 6, 9$

For the data set shown, which of the following is true?",The mean is equal to the median.,The median is equal to the mode.,The mean is equal to the mode.,The range is equal to the mean.,B,,"To answer the question, we need to calculate the mean, median, mode, and range of the data set $2, 4, 4, 6, 9$.",Mean: Sum the values and divide by the count. Sum = $2+4+4+6+9 = 25$. Count = 5. Mean = $25/5 = 5$.,"Median: The data set is ordered. With 5 values, the median is the middle (3rd) value, which is 4.","Mode: The value that appears most often. The number 4 appears twice, more than any other number. The mode is 4.",Range: The difference between the maximum and minimum values. Range = $9 - 2 = 7$.,"Now, evaluate the choices:
A) Mean (5) = Median (4) is false.
B) Median (4) = Mode (4) is true.
C) Mean (5) = Mode (4) is false.
D) Range (7) = Mean (5) is false."
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,"The daily sales for a cafe over 5 days were \$120, \$150, \$130, \$160, and \$200. What was the mean daily sale for this period?",\$130,\$150,\$152,\$160,C,,The mean is the sum of the values divided by the number of values.,"First, find the sum of the daily sales: $120 + 150 + 130 + 160 + 200$.",The sum is $760.,"There are 5 days, so there are 5 values in the data set.",Divide the sum by the number of days: $\frac{760}{5} = 152$.,The mean daily sale was \$152.
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,"The median of the ordered data set $5, 8, x, 15, 18$ is 11. What is the value of $x$?",8,10,11,11.4,C,,The median of a data set is the middle value when the data is arranged in order.,"The given data set, $5, 8, x, 15, 18$, is already in order.","The data set has 5 values, which is an odd number.","For a set with an odd number of values, the median is the value in the exact middle. In this case, it's the 3rd value.",The 3rd value in the list is $x$.,"Since we are told the median is 11, it must be that $x = 11$."
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,Which of the following data sets has a mean of 10?,"$5, 10, 15$","$10, 10, 10, 11$","$8, 9, 10$","$10, 12, 14$",A,,"To find the correct data set, we need to calculate the mean for each option and see which one equals 10. The mean is the sum of the values divided by the number of values.","Option A: $5, 10, 15$. Sum = $5+10+15 = 30$. Number of values = 3. Mean = $30/3 = 10$. This is a possible correct answer.","Option B: $10, 10, 10, 11$. Sum = $10+10+10+11 = 41$. Number of values = 4. Mean = $41/4 = 10.25$. This is incorrect.","Option C: $8, 9, 10$. Sum = $8+9+10 = 27$. Number of values = 3. Mean = $27/3 = 9$. This is incorrect.","Option D: $10, 12, 14$. Sum = $10+12+14 = 36$. Number of values = 3. Mean = $36/3 = 12$. This is incorrect.",Only the data set in option A has a mean of 10.
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,"The list $65, 68, 72, 71, 66, 75, 70$ shows the high temperatures in degrees Fahrenheit for a city over 7 consecutive days. What is the range of the high temperatures?",5,7,10,75,C,,The range of a data set is the difference between the maximum (highest) value and the minimum (lowest) value.,"Examine the list of temperatures to find the maximum value: $65, 68, 72, 71, 66, 75, 70$. The maximum temperature is 75.",Examine the list of temperatures to find the minimum value. The minimum temperature is 65.,Calculate the range by subtracting the minimum from the maximum: $75 - 65 = 10$.,The range of the high temperatures is 10 degrees Fahrenheit.,
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,"$5, 6, 7, 8, 24$

For the data set shown, which of the following statements is true?",The mean is less than the median.,The mean is greater than the median.,The mean is equal to the median.,The range is equal to the mean.,B,,"We need to compare the mean and median of the data set. The data set is $5, 6, 7, 8, 24$.","First, calculate the mean. The mean is the sum of the values divided by the count of values. Sum = $5+6+7+8+24 = 50$. Count = 5. Mean = $50/5 = 10$.","Next, find the median. The data is already in order. For a set of 5 values, the median is the middle (3rd) value, which is 7.","Now, compare the mean and the median. The mean is 10 and the median is 7.","Since $10 > 7$, the mean is greater than the median.",This corresponds to option B. The large value 24 is an outlier that pulls the mean up but does not affect the median's position.
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,"What is the median of the data set $101, 105, 108, 112, 115, 120, 121$?",108,112,113.14,115,B,,The median is the middle value of a data set when it is arranged in order.,"The given data set is already ordered from least to greatest: $101, 105, 108, 112, 115, 120, 121$.","There are 7 values in the set, which is an odd number.",The middle value in a set of 7 is the 4th value.,"Counting from the beginning of the list, the 4th value is 112.","Therefore, the median of the data set is 112."
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,"Data set A: $20, 30, 40$
Data set B: $15, x, 45$

If the mean of data set A is equal to the mean of data set B, what is the value of $x$?",25,30,35,40,B,,"First, calculate the mean of data set A. Mean = $\frac{20 + 30 + 40}{3} = \frac{90}{3} = 30$.","Next, write an expression for the mean of data set B. Mean = $\frac{15 + x + 45}{3} = \frac{60 + x}{3}$.","We are given that the means of the two data sets are equal. So, we set the two expressions for the mean equal to each other: $30 = \frac{60 + x}{3}$.","To solve for $x$, multiply both sides of the equation by 3: $30 \times 3 = 60 + x$.",This simplifies to $90 = 60 + x$.,Subtract 60 from both sides to find the value of $x$: $x = 90 - 60 = 30$.
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,"The dot plot shows the number of pets for each of 8 students. What is the mean number of pets?

(A dot plot with 2 dots at 1, 3 dots at 2, 1 dot at 3, and 2 dots at 4)",2,2.375,2.5,3,B,,The mean is the sum of all values divided by the number of values. We can find the sum from the dot plot.,"The dot plot shows the following data values (number of pets): 1, 1, 2, 2, 2, 3, 4, 4.","Calculate the sum of these values: $1+1+2+2+2+3+4+4 = 19$. Alternatively, Sum = $(2 \times 1) + (3 \times 2) + (1 \times 3) + (2 \times 4) = 2 + 6 + 3 + 8 = 19$.","Count the number of students, which is the total number of dots: $2 + 3 + 1 + 2 = 8$.",Divide the sum of the pets by the number of students: $\frac{19}{8}$.,Converting the fraction to a decimal gives $19 \div 8 = 2.375$. The mean number of pets is 2.375.
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,"What is the median of the data set $15, 20, 25, 35, 40, 50$?",25,30,30.83,35,B,,"The median is the middle value of an ordered data set. If the set has an even number of values, the median is the average of the two middle values.","The data set $15, 20, 25, 35, 40, 50$ is already in order.","There are 6 values in the set, which is an even number.",The two middle values are the 3rd and 4th values.,The 3rd value is 25 and the 4th value is 35.,The median is the average of these two values: $\frac{25 + 35}{2} = \frac{60}{2} = 30$.
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,"The scores for two basketball players in their last 5 games are shown below.
Player A: $10, 12, 15, 18, 20$
Player B: $8, 16, 16, 16, 19$

I. The mean score for Player A is equal to the mean score for Player B.
II. The median score for Player A is less than the median score for Player B.

Which of the statements is/are true?",I only,II only,I and II,Neither I nor II,C,,Evaluate statement I by calculating the mean for each player.,Mean for Player A = $\frac{10+12+15+18+20}{5} = \frac{75}{5} = 15$.,"Mean for Player B = $\frac{8+16+16+16+19}{5} = \frac{75}{5} = 15$. Since the means are equal, statement I is true.",Evaluate statement II by finding the median for each player. Both lists are ordered.,"Median for Player A: The list is $10, 12, 15, 18, 20$. The median is the middle (3rd) value, which is 15.","Median for Player B: The list is $8, 16, 16, 16, 19$. The median is the middle (3rd) value, which is 16. Since $15 < 16$, the median for Player A is less than the median for Player B. Statement II is true. Therefore, both I and II are true."
