test,domain,skill,difficulty,question_text_latex,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,step_1,step_2,step_3,step_4,step_5,step_6
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,"The scatterplot above shows the height, in centimeters, of a sunflower recorded each week after sprouting. A line of best fit for the data is also shown. According to the line of best fit, what is the predicted height of the sunflower 5 weeks after sprouting?",80 cm,90 cm,100 cm,110 cm,C,,"The question asks for the predicted height of the sunflower at 5 weeks, according to the line of best fit.","First, locate '5' on the horizontal axis, which represents 'Weeks after Sprouting'.","Next, move vertically up from 5 on the horizontal axis until you reach the line of best fit.","From that point on the line, move horizontally to the left to read the value on the vertical axis, which represents 'Height (cm)'.",The value on the vertical axis that corresponds to 5 weeks is 100 cm.,"Therefore, the predicted height is 100 cm."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,The scatterplot above shows the number of ice cream cones sold at a shop and the daily high temperature for 10 different days. Which of the following statements best describes the relationship between the daily high temperature and the number of ice cream cones sold?,"As the temperature increases, sales tend to increase.","As the temperature increases, sales tend to decrease.",There is no clear association between temperature and sales.,Sales are highest on the coldest days.,A,,"The question asks to describe the relationship, or association, between the two variables shown in the scatterplot: daily high temperature and ice cream cones sold.",Observe the general trend of the data points on the scatterplot.,"As you look from left to right along the horizontal axis (increasing temperature), the data points on the vertical axis (cones sold) tend to get higher.","This indicates a positive association: as one variable increases, the other variable also tends to increase.","Choice A accurately describes this positive association. Choices B and D describe a negative association, and choice C suggests no relationship, none of which match the data.",
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,The line graph above shows the value of a certain model of car over the first four years after it was purchased new. Between which of the following two consecutive years was the decrease in the car's value the greatest?,Year 0 and Year 1,Year 1 and Year 2,Year 2 and Year 3,Year 3 and Year 4,A,,The question asks for the 2-year period with the greatest decrease in the car's value.,A greater decrease corresponds to a steeper downward slope on the line graph.,Visually compare the steepness of the line segment for each 1-year interval.,"The segment between Year 0 (value ~$25,000) and Year 1 (value ~$20,000) is the steepest. The drop is approximately $5,000.","The drop between Year 1 and Year 2 is less steep (approx. $3,000), and the segments for later years are even less steep.","Therefore, the greatest decrease in value occurred between Year 0 and Year 1."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,The graph above shows a phone's battery percentage over several hours of continuous use. Approximately how much did the battery percentage decrease between hour 1 and hour 4 of use?,30%,35%,45%,55%,C,,The question asks for the difference in battery percentage between hour 1 and hour 4.,"First, find the battery percentage at hour 1. Locate '1' on the horizontal axis and find the corresponding point on the graph. The value on the vertical axis is approximately 85%.","Next, find the battery percentage at hour 4. Locate '4' on the horizontal axis and find the corresponding point on the graph. The value on the vertical axis is approximately 40%.",Calculate the difference between the two percentages: $85\% - 40\% = 45\%$.,The battery percentage decreased by approximately 45%.,
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,"The scatterplot above shows the relationship between two variables, x and y. Which of the following could be the equation for the line of best fit for the data shown?",$y = 2x + 10$,$y = -2x + 10$,$y = 2x - 10$,$y = -2x - 10$,B,,The question asks for a possible equation of the line of best fit. We need to determine the approximate slope and y-intercept from the graph.,"First, examine the slope. The data points trend downwards from left to right, which indicates a negative slope. This eliminates options A and C, which have positive slopes.","Next, examine the y-intercept. The y-intercept is the point where the line crosses the y-axis (where $x=0$). The trend of the data suggests the line of best fit would cross the y-axis at a positive value, approximately +10.",Now let's look at the remaining options B and D. Option B has a negative slope ($-2$) and a positive y-intercept ($+10$). Option D has a negative slope ($-2$) but a negative y-intercept ($-10$).,"Based on our analysis, the line of best fit must have a negative slope and a positive y-intercept. Option B, $y = -2x + 10$, fits these characteristics.",
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,"The scatterplot above shows the test scores of several students and the number of hours they spent studying. A line of best fit for the data is also shown. According to the line of best fit, what is the approximate test score for a student who studied for 3.5 hours?",70,73,78,85,C,,The question asks to use the line of best fit to predict a test score for a specific number of study hours.,Locate 3.5 on the horizontal axis (Hours Studied). This point is exactly halfway between 3 and 4.,Move vertically up from the 3.5 mark to the line of best fit.,"From that point on the line, move horizontally to the left to read the corresponding value on the vertical axis (Test Score).","The value on the vertical axis is between 75 and 80, but closer to 80. Of the choices provided, 78 is the most reasonable estimate.",Choice D (85) corresponds to studying for 5 hours. Choices A and B are too low for 3.5 hours of study according to the trend line.
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,The line graph above shows the monthly profit for a new coffee shop during its first six months of operation. In which month was the profit the lowest?,January,February,April,June,B,,The question asks to identify the month with the lowest profit.,"On the line graph, the vertical axis represents profit. Therefore, the lowest profit corresponds to the lowest point on the graph.",Examine the data points for each month on the graph.,The point corresponding to February is lower than all other points on the graph.,"Therefore, the coffee shop had its lowest profit in February.",
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,The scatterplot above shows a runner's average speed over different segments of a marathon. Which statement best describes the association shown in the scatterplot?,The runner's speed tends to increase as the distance run increases.,The runner's speed tends to decrease as the distance run increases.,The runner's speed stays constant throughout the race.,There is no association between distance run and speed.,B,,The question asks for the best description of the association between distance run and speed.,"To find the association, we look at the overall trend of the plotted points.","As we move from left to right along the horizontal axis (Distance Run increases), the points on the scatterplot tend to be lower on the vertical axis (Speed decreases).","This pattern represents a negative association: as one variable increases, the other tends to decrease.",Choice B correctly describes this negative association.,Choice A describes a positive association. Choice C would be a flat horizontal line of points. Choice D would be a random scattering of points with no clear trend. None of these match the graph.
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,A pot of water is heated on a stove. The graph above shows the temperature of the water at 2-minute intervals. During which of the following 2-minute intervals did the temperature of the water increase at the greatest average rate?,Between 0 and 2 minutes,Between 2 and 4 minutes,Between 6 and 8 minutes,Between 8 and 10 minutes,B,,The question asks to find the interval with the greatest average rate of temperature increase.,"On a time-series graph, the average rate of change is represented by the slope of the line segment connecting the two points of an interval.",A greater rate of increase means a steeper positive slope.,Visually inspect the steepness of the line segment in each of the given 2-minute intervals.,The segment between 2 and 4 minutes is visibly steeper than the segments for 0-2 minutes and 6-8 minutes. The segment for 8-10 minutes shows a very small increase (almost flat).,"Therefore, the greatest average rate of increase occurred between 2 and 4 minutes."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,"A student is reading a 300-page book. The line graph above shows the number of pages remaining to be read at the end of each day for 5 days. According to the graph, how many pages were remaining at the end of Day 3?",100,150,200,250,B,,The question asks for a specific value from the line graph: the number of pages remaining at the end of Day 3.,Locate 'Day 3' on the horizontal axis.,"From this point, move vertically up to the data point on the line graph.","From the data point, move horizontally to the left to read the corresponding value on the vertical axis, which is labeled 'Pages Remaining'.",The value on the vertical axis is 150.,"Thus, there were 150 pages remaining at the end of Day 3."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,"The line graph shows the estimated population of a town from 2010 to 2016. In which year was the estimated population of the town 12,000?",2011,2012,2013,2014,C,,"The question asks to find the year when the population was a specific value, 12,000.","This time, we start on the vertical axis, which represents 'Population (in thousands)'. Locate the mark for 12 (since the axis is in thousands).","Move horizontally to the right from the 12,000 mark until you intersect the line graph.","From that point of intersection, move vertically down to the horizontal axis to read the corresponding year.",The year on the horizontal axis is 2013.,"Therefore, the population was 12,000 in the year 2013."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,"A farmer recorded the crop yield from several fields and the amount of rainfall each received. The data are shown in the scatterplot above, along with a line of best fit. Which of the following statements best describes the relationship shown?",Higher rainfall is associated with a lower crop yield.,Higher rainfall is associated with a higher crop yield.,The crop yield is the same regardless of the amount of rainfall.,There is no relationship between rainfall and crop yield.,B,,The question asks to describe the relationship between rainfall and crop yield shown in the scatterplot.,Observe the general direction of the data points and the line of best fit.,"As you move from left to right along the horizontal axis (increasing rainfall), the data points and the line of best fit tend to go up.","This indicates a positive association: as rainfall increases, the crop yield tends to increase.","Choice B, 'Higher rainfall is associated with a higher crop yield,' accurately describes this positive relationship.","Choice A describes a negative association, which is incorrect. Choices C and D suggest no association, which is also contradicted by the clear upward trend in the data."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,"The scatterplot above shows the cost of a taxi ride for various distances. A line of best fit is shown. Based on the line of best fit, what would be the estimated cost for a 5-mile ride?",$9,$11,$13,$15,C,,"The question asks for the estimated cost of a 5-mile taxi ride, using the line of best fit.","Find the value '5' on the horizontal axis, which represents 'Distance (miles)'.",Move vertically up from the 5-mile mark until you intersect the line of best fit.,"From this point of intersection, move horizontally to the left to read the value on the vertical axis, which represents 'Cost ($)'.",The corresponding value on the vertical axis is approximately $13.,"Thus, the estimated cost for a 5-mile ride is $13."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,The line graph above shows the amount of fuel in a car's gas tank during a long trip. How many gallons of fuel were used between the start of the trip (0 miles) and the 200-mile mark?,4 gallons,6 gallons,8 gallons,10 gallons,C,,The question asks for the amount of fuel used over the first 200 miles of the trip.,"First, find the amount of fuel at the start of the trip (0 miles). According to the graph, the point at 0 miles corresponds to 14 gallons on the vertical axis.","Next, find the amount of fuel remaining at the 200-mile mark. According to the graph, the point at 200 miles corresponds to 6 gallons on the vertical axis.",The amount of fuel used is the difference between the starting amount and the remaining amount.,Calculate the difference: $14 \text{ gallons} - 6 \text{ gallons} = 8 \text{ gallons}$.,"So, 8 gallons of fuel were used."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,The scatterplot above shows the price of several laptops and their corresponding screen sizes. Which of the following could be an equation for the line of best fit for the data?,$y = 50x + 100$,$y = -50x + 100$,$y = 50x - 100$,$y = -50x - 100$,A,,The question asks for a possible equation for the line of best fit. We need to analyze the trend to determine the slope and y-intercept.,"First, analyze the slope of the trend. As the screen size (x-variable) increases, the price (y-variable) tends to increase. This indicates a positive slope. This eliminates options B and D.","Next, analyze the y-intercept. The y-intercept is the value of y when x is 0. If we extend the trendline to the left, it would cross the y-axis at a positive value. Both A and C have positive slopes.","Let's compare option A ($y=50x+100$) and option C ($y=50x-100$). Option A has a positive y-intercept ($+100$), while option C has a negative y-intercept ($-100$). A negative price is not possible and the data trend clearly starts from a positive price value.",The data requires a positive slope and a positive y-intercept. Only option A meets both criteria.,
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,The line graph shows the number of daily visitors to a website over one week. On which day did the website have the most visitors?,Monday,Wednesday,Friday,Saturday,D,,The question asks on which day the website had the most visitors.,The number of visitors is shown on the vertical axis. The highest number of visitors corresponds to the highest point on the line graph.,Examine the graph and locate the highest data point.,The peak of the graph occurs on the day labeled 'Saturday'.,"Therefore, Saturday was the day with the most visitors.",
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,The scatterplot above shows the relationship between air pressure and altitude. Which of the following statements best describes the association?,"As altitude increases, air pressure tends to increase.","As altitude increases, air pressure tends to decrease.","As altitude decreases, air pressure tends to decrease.",There is no clear association between altitude and air pressure.,B,,The question asks to describe the association between altitude and air pressure.,"Look at the overall trend of the points in the scatterplot. The horizontal axis represents altitude, and the vertical axis represents air pressure.","As you move from left to right along the horizontal axis (altitude is increasing), the data points tend to be lower on the vertical axis (air pressure is decreasing).","This represents a negative association. Therefore, as altitude increases, air pressure tends to decrease.","Choice B correctly describes this relationship. Choice A and C describe a positive association, which is incorrect. Choice D is incorrect because there is a clear downward trend.",
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,"The scatterplot above relates a home's daily heating cost to the average outside temperature. A line of best fit for the data is also shown. According to the line of best fit, what is the predicted daily heating cost when the average outside temperature is 20°F?",$10,$15,$20,$25,C,,The question asks to use the line of best fit to predict the heating cost for a given temperature.,"Find the value 20 on the horizontal axis, which represents 'Average Outside Temperature (°F)'.",Move vertically up from the 20°F mark until you reach the line of best fit.,"From this point on the line, move horizontally to the left to read the value on the vertical axis, 'Daily Heating Cost ($)'.",The corresponding value on the vertical axis is $20.,"Therefore, the predicted daily cost is $20 when the temperature is 20°F."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,"The line graph shows a person's weight, in kilograms (kg), recorded on the first day of each month for five months. Between which two consecutive months was the amount of weight lost the greatest?",Month 1 and Month 2,Month 2 and Month 3,Month 3 and Month 4,Month 4 and Month 5,A,,The question asks for the period with the greatest weight loss. Weight loss is a decrease in weight.,The greatest weight loss will be represented by the steepest downward-sloping line segment on the graph.,Visually compare the slopes of the segments between consecutive months.,"Let's estimate the loss each month: 
Month 1-2: 90kg to 86kg, a loss of 4kg. 
Month 2-3: 86kg to 84kg, a loss of 2kg. 
Month 3-4: 84kg to 83kg, a loss of 1kg. 
Month 4-5: 83kg to 82.5kg, a loss of 0.5kg.","The line segment between Month 1 and Month 2 is the steepest, representing the largest decrease of 4 kg.","Therefore, the greatest weight loss occurred between Month 1 and Month 2."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,"The scatterplot above shows concert ticket prices based on the distance from the stage. The line of best fit is also shown. A new seat is located 25 meters from the stage. According to the line of best fit, which of the following is the best approximation of the ticket price for this seat?",$50,$65,$80,$95,B,,The question asks to predict a ticket price for a given distance using the line of best fit.,Locate 25 meters on the horizontal axis (Distance from Stage).,Follow the vertical line up from 25 m to the line of best fit.,"From that point on the line, follow the horizontal line to the left to read the corresponding price on the vertical axis.","The value on the vertical axis is approximately halfway between $60 and $70. Of the choices given, $65 is the best approximation.",
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,An experiment measures how much an elastic band stretches when different weights are attached to it. The results are shown in the scatterplot above. Which of the following statements best describes the relationship between the attached weight and the stretch of the band?,"As the weight increases, the stretch of the band tends to decrease.","As the weight increases, the stretch of the band tends to increase.",There is no apparent relationship between the weight and the stretch.,The stretch of the band is constant for all weights.,B,,The question asks to describe the relationship shown in the scatterplot.,"The horizontal axis represents the weight attached, and the vertical axis represents how much the band stretches.","Observe the general trend of the data points. As you move from left to right (increasing weight), the points tend to go up (increasing stretch).",This indicates a positive association between the two variables.,"Choice B accurately states that as the weight increases, the stretch of the band tends to increase.","The other choices describe a negative association (A), no association (C), or a constant relationship (D), none of which match the data."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,The line graph above shows the progress of a file download. What percentage of the file was downloaded after 40 seconds?,40%,50%,60%,80%,D,,The question asks for a specific value from the line graph: the download percentage at 40 seconds.,"Find '40' on the horizontal axis, which represents 'Time (seconds)'.",Move vertically up from the 40-second mark to the point on the line graph.,"From that data point, move horizontally to the left to find the corresponding value on the vertical axis, 'Percent Downloaded'.",The value on the vertical axis is 80%.,"Therefore, at 40 seconds, 80% of the file was downloaded."
