test,domain,skill,difficulty,question_text_latex,figure_description,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,step_1,step_2,step_3,step_4,step_5,step_6
Math,Problem-Solving and Data Analysis,Probability and conditional probability,Easy,"The table shows the distribution of 90 students in a school band, categorized by the instrument they play and their grade level. If a student is selected at random from the band, what is the probability that the student plays a brass instrument?","A two-way contingency table presented with a title and clear grid lines. The table itself has 4 rows and 5 columns. The top-most row is a header spanning all 5 columns, containing the text 'School Band Enrollment'. Below this, the first row of the table proper contains column headers: 'Instrument', '9th Grade', '10th Grade', '11th/12th Grade', 'Total'. All headers are bold and centered in their cells. The first column lists the instrument types: 'Woodwind', 'Brass', and 'Percussion'. The subsequent cells contain numerical data. Row 'Woodwind': 12, 10, 8, 30. Row 'Brass': 15, 8, 7, 30. Row 'Percussion': 10, 11, 9, 30. The last row is a 'Total' row, showing the sum of each column: 'Total', 37, 29, 24, 90. All numbers are centered within their cells. The table has black, 1-point solid borders for all outer edges and inner grid lines.",$\frac{15}{90}$,$\frac{30}{90}$,$\frac{37}{90}$,$\frac{30}{37}$,B,,The question asks for the probability of selecting a student who plays a brass instrument from the total number of students in the band.,The formula for probability is $P(\text{Event}) = \frac{\text{Number of favorable outcomes}}{\text{Total number of outcomes}}$.,"From the table, we locate the row for 'Brass' instruments. The total number of students who play a brass instrument is found in the 'Total' column for that row, which is $30$. This is the number of favorable outcomes.","The total number of students in the band is given in the problem and also shown as the grand total in the bottom-right corner of the table, which is $90$. This is the total number of outcomes.",We calculate the probability by dividing the number of brass players by the total number of students: $P(\text{Brass}) = \frac{30}{90}$.,"Thus, the probability is $\frac{30}{90}$. This corresponds to option B."
Math,Problem-Solving and Data Analysis,Probability and conditional probability,Easy,"A local library sorted 200 of its books by genre and format, as shown in the table. If a book is chosen at random from this collection, what is the probability that it is a paperback?","A two-way contingency table with 4 rows and 4 columns. All text is left-aligned. The table is enclosed in a solid black border, with solid lines separating all rows and columns. The first row contains the headers: '', 'Fiction', 'Non-Fiction', 'Total'. The column headers are bolded. The first column contains the row headers which are also bolded: 'Hardcover', 'Paperback', 'Total'. The data cells are as follows: The 'Hardcover' row contains the values 40 and 20, with a 'Total' of 60. The 'Paperback' row contains the values 90 and 50, with a 'Total' of 140. The 'Total' row contains the column sums: 130, 70, and a grand total of 200.",$\frac{50}{140}$,$\frac{90}{200}$,$\frac{130}{200}$,$\frac{140}{200}$,D,,The question asks for the probability that a randomly selected book is a paperback.,Probability is calculated as the ratio of the number of favorable outcomes to the total number of possible outcomes.,"To find the number of favorable outcomes, we look at the 'Paperback' row in the table. The total number of paperbacks is given in the 'Total' column of this row, which is $140$.","The total number of possible outcomes is the total number of books in the collection, which is the grand total in the bottom-right cell of the table, $200$.",The probability of selecting a paperback is $P(\text{Paperback}) = \frac{\text{Number of paperbacks}}{\text{Total number of books}} = \frac{140}{200}$.,"The calculated probability is $\frac{140}{200}$, which matches option D."
Math,Problem-Solving and Data Analysis,Probability and conditional probability,Easy,"The bar chart shows the number of cars in a parking lot, categorized by color. If a car is selected at random from the lot, what is the probability that the car is silver?","A vertical bar chart with a title 'Cars in Parking Lot'. The horizontal x-axis is labeled 'Car Color' and has four categories: 'Black', 'White', 'Silver', 'Red'. The vertical y-axis is labeled 'Number of Cars' and has numerical tick marks from 0 to 30 in increments of 5 (0, 5, 10, 15, 20, 25, 30). There are four vertical bars corresponding to the categories. The 'Black' bar reaches a height of 25. The 'White' bar reaches a height of 20. The 'Silver' bar reaches a height of 15. The 'Red' bar reaches a height of 10. Each bar is a solid color (e.g., grey) and has a data label on top showing its exact value (25, 20, 15, 10). The axes are black lines.",$\frac{15}{55}$,$\frac{15}{70}$,$\frac{20}{70}$,$\frac{25}{70}$,B,,The task is to find the probability of selecting a silver car at random.,The probability is the number of silver cars divided by the total number of cars in the parking lot.,"From the bar chart, the height of the bar for 'Silver' indicates there are $15$ silver cars. This is the number of favorable outcomes.","To find the total number of cars, we must sum the numbers of cars of each color: $25 (Black) + 20 (White) + 15 (Silver) + 10 (Red) = 70$ cars. This is the total number of outcomes.",The probability of selecting a silver car is $P(\text{Silver}) = \frac{\text{Number of silver cars}}{\text{Total number of cars}} = \frac{15}{70}$.,"Therefore, the correct probability is $\frac{15}{70}$, which is option B."
Math,Problem-Solving and Data Analysis,Probability and conditional probability,Easy,A group of 80 people were surveyed about their coffee preferences. The results are summarized in the table. What is the probability that a randomly selected person from this group is under 30 years old?,"A 4x4 two-way table with bold headers. The table is titled 'Coffee Preferences Survey'. The top row has headers: '', 'Prefers Hot Coffee', 'Prefers Iced Coffee', 'Total'. The first column has row headers: 'Under 30 years', '30 years and over', 'Total'. The data is as follows: Row 'Under 30 years': 10 hot, 30 iced, total 40. Row '30 years and over': 25 hot, 15 iced, total 40. The 'Total' row shows column sums: 35 hot, 45 iced, grand total 80. All numerical data is centered in the cells. Grid lines are solid and black.",$\frac{10}{80}$,$\frac{30}{80}$,$\frac{40}{80}$,$\frac{35}{80}$,C,,The question asks for the probability that a person selected from the surveyed group is under 30 years old.,The probability formula is $P(\text{Event}) = \frac{\text{Number of favorable outcomes}}{\text{Total number of outcomes}}$.,"The favorable outcome is selecting a person 'Under 30 years'. Looking at the table, the total number of people in this category is in the 'Total' column for the 'Under 30 years' row, which is $40$.","The total number of people surveyed is the grand total, which is given as $80$ and is also in the bottom right of the table.",The probability is calculated as $P(\text{Under 30}) = \frac{\text{Number of people under 30}}{\text{Total people surveyed}} = \frac{40}{80}$.,The probability is $\frac{40}{80}$. Option C matches this result.
Math,Problem-Solving and Data Analysis,Probability and conditional probability,Easy,"The Venn diagram shows the number of students in a class of 35 who play soccer, basketball, or both. If a student is chosen at random, what is the probability that the student plays soccer?","A Venn diagram inside a rectangle. The rectangle is labeled 'Class' and has the number '6' in the bottom right corner, indicating students who play neither sport. There are two overlapping circles. The left circle is labeled 'Soccer' and the right circle is labeled 'Basketball'. The non-overlapping part of the 'Soccer' circle contains the number '12'. The non-overlapping part of the 'Basketball' circle contains the number '8'. The overlapping region (intersection) of the two circles contains the number '9'. The labels 'Soccer' and 'Basketball' are outside the top of their respective circles. All numbers are inside their respective regions.",$\frac{9}{35}$,$\frac{12}{35}$,$\frac{21}{35}$,$\frac{29}{35}$,C,,We need to find the probability that a randomly chosen student plays soccer.,The probability is the ratio of the total number of students who play soccer to the total number of students in the class.,"The set of students who play soccer is represented by the entire 'Soccer' circle. This includes students who only play soccer and students who play both soccer and basketball. From the Venn diagram, this number is $12 (soccer~only) + 9 (both) = 21$. This is the number of favorable outcomes.",The total number of students in the class is given as $35$. We can verify this by summing all the numbers in the diagram: $12 (soccer~only) + 9 (both) + 8 (basketball~only) + 6 (neither) = 35$.,The probability is $P(\text{Soccer}) = \frac{\text{Total who play soccer}}{\text{Total students}} = \frac{21}{35}$.,"The probability is $\frac{21}{35}$, which corresponds to option C."
Math,Problem-Solving and Data Analysis,Probability and conditional probability,Easy,"A concession stand sold 150 items during a game. The table shows the sales of popcorn and pretzels. Based on the data, what is the probability that a randomly selected item sold was popcorn?","A simple frequency table with 2 columns and 3 rows, plus a header row and a total row. The first row has column headers 'Snack Type' and 'Number Sold'. Both are bold. The second row shows 'Popcorn' and '90'. The third row shows 'Pretzels' and '60'. The fourth row is a total row, showing 'Total' and '150'. The columns are aligned left and center, respectively. The table has a complete grid of thin black lines.",$\frac{60}{150}$,$\frac{90}{150}$,$\frac{60}{90}$,$\frac{90}{60}$,B,,The question asks for the probability that a randomly selected item sold was popcorn.,The probability of an event is the number of times the event occurred divided by the total number of outcomes.,"According to the table, the number of popcorn items sold is $90$. This is our number of favorable outcomes.","The total number of items sold is given in the problem and in the table's total row, which is $150$. This is our total number of outcomes.",The probability of selling a popcorn item is $P(\text{Popcorn}) = \frac{\text{Number of popcorn sold}}{\text{Total items sold}} = \frac{90}{150}$.,This fraction $\frac{90}{150}$ matches option B.
Math,Problem-Solving and Data Analysis,Probability and conditional probability,Easy,"The table summarizes the 120 members of a gym by membership type and their primary activity. If a member is chosen at random, what is the probability that the member's primary activity is weightlifting?","A 4x4 two-way table with centered, bold headers. The title 'Gym Members' is above the table. The first row headers are '', 'Cardio', 'Weightlifting', 'Total'. The first column headers are 'Basic Membership', 'Premium Membership', 'Total'. Data is as follows: 'Basic Membership' row has 25 Cardio, 35 Weightlifting, for a Total of 60. 'Premium Membership' row has 15 Cardio, 45 Weightlifting, for a Total of 60. The 'Total' row at the bottom shows 40 Cardio, 80 Weightlifting, and a grand total of 120. All cells are bordered by thin black lines.",$\frac{35}{120}$,$\frac{45}{120}$,$\frac{60}{120}$,$\frac{80}{120}$,D,,The goal is to find the probability of selecting a member whose primary activity is weightlifting.,Probability is found by dividing the number of members who primarily do weightlifting by the total number of gym members.,"We look at the 'Weightlifting' column in the table. The total number of members who do weightlifting is at the bottom of this column, in the 'Total' row. This number is $80$.","The total number of members at the gym is the grand total, found in the bottom-right corner of the table, which is $120$.",The probability is $P(\text{Weightlifting}) = \frac{\text{Number of weightlifters}}{\text{Total members}} = \frac{80}{120}$.,The fraction $\frac{80}{120}$ corresponds to option D.
Math,Problem-Solving and Data Analysis,Probability and conditional probability,Easy,"A bag contains 50 marbles of different colors. The number of marbles of each color is shown in the table. If a marble is drawn from the bag at random, what is the probability that it is NOT blue?","A simple frequency table with 2 columns and 4 rows, plus a header row. The headers are 'Color' and 'Quantity'. The rows are: 'Red', 18; 'Blue', 22; 'Green', 10. The table is structured with vertical and horizontal lines creating a grid. All text is centered.",$\frac{10}{50}$,$\frac{18}{50}$,$\frac{22}{50}$,$\frac{28}{50}$,D,,The question asks for the probability of drawing a marble that is NOT blue.,This can be calculated by finding the number of non-blue marbles and dividing it by the total number of marbles.,"The non-blue marbles are the red ones and the green ones. From the table, there are $18$ red and $10$ green marbles. The total number of non-blue marbles is $18 + 10 = 28$.",The total number of marbles in the bag is given as $50$. We can also find this by summing the quantities: $18 + 22 + 10 = 50$.,The probability of drawing a non-blue marble is $P(\text{not Blue}) = \frac{\text{Number of non-blue marbles}}{\text{Total number of marbles}} = \frac{28}{50}$.,"Alternatively, we could calculate $1 - P(\text{Blue})$. $P(\text{Blue}) = \frac{22}{50}$. So, $P(\text{not Blue}) = 1 - \frac{22}{50} = \frac{50}{50} - \frac{22}{50} = \frac{28}{50}$. This matches option D."
Math,Problem-Solving and Data Analysis,Probability and conditional probability,Easy,"The table shows the results of a survey of 250 employees at a company about their preferred work location. Based on the table, what is the probability that an employee chosen at random prefers to work from home?","A two-way table with 4 rows and 4 columns, outlined with black grid lines. Headers are bold. The top row headers are '', 'IT Department', 'HR Department', 'Total'. The first column headers are 'Prefer Office', 'Prefer Home', 'Total'. Cell values are: 'Prefer Office' row has 60 IT, 40 HR, total 100. 'Prefer Home' row has 90 IT, 60 HR, total 150. The 'Total' row at the bottom shows 150 IT, 100 HR, grand total 250. All numbers are centered.",$\frac{60}{250}$,$\frac{90}{250}$,$\frac{100}{250}$,$\frac{150}{250}$,D,,The question asks for the probability that a randomly chosen employee prefers to work from home.,The probability is the ratio of employees who prefer home to the total number of employees.,"From the table, in the 'Prefer Home' row, the total number of employees who prefer to work from home is shown in the 'Total' column. This value is $150$.","The total number of employees surveyed is the grand total, located in the bottom-right cell, which is $250$.",The probability is calculated as $P(\text{Prefer Home}) = \frac{\text{Number who prefer home}}{\text{Total employees}} = \frac{150}{250}$.,"The probability is $\frac{150}{250}$, which is option D."
Math,Problem-Solving and Data Analysis,Probability and conditional probability,Easy,"A small movie theater tracked ticket sales for a weekend. The results for 600 tickets are in the table. If a ticket is selected at random, what is the probability it was for a matinee showing?","A 4x4 data table with a title 'Weekend Ticket Sales'. All headers are bold and centered. The table has a full grid of thin black lines. The top row headers are '', 'Adult', 'Child', 'Total'. The side column headers are 'Matinee', 'Evening', 'Total'. The data is: 'Matinee' row shows 150 Adult, 100 Child, Total 250. 'Evening' row shows 200 Adult, 150 Child, Total 350. The final 'Total' row shows 350 Adult, 250 Child, Grand Total 600.",$\frac{100}{600}$,$\frac{150}{600}$,$\frac{250}{600}$,$\frac{350}{600}$,C,,We need to find the probability that a randomly selected ticket was for a matinee showing.,Probability is the number of matinee tickets divided by the total number of tickets sold.,"Looking at the 'Matinee' row in the table, the total number of matinee tickets sold is given in its 'Total' column, which is $250$.","The total number of all tickets sold is the grand total in the bottom-right corner of the table, which is $600$.",The probability of selecting a matinee ticket is $P(\text{Matinee}) = \frac{\text{Number of matinee tickets}}{\text{Total tickets}} = \frac{250}{600}$.,"The correct answer is $\frac{250}{600}$, which corresponds to option C."
