test,domain,skill,difficulty,question_text_latex,figure_description,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,step_1,step_2,step_3,step_4,step_5,step_6
Math,Geometry and Trigonometry,Right triangles and trigonometry,Easy,"In the right triangle shown, what is the length of the hypotenuse, $c$?","A right triangle is shown with its base horizontal and its other leg vertical. The vertices are not labeled. The bottom horizontal leg is labeled with the length 3. The vertical leg on the left is labeled with the length 4. The hypotenuse, which extends from the top of the vertical leg to the right end of the horizontal leg, is labeled with the variable $c$. A square symbol in the bottom-left corner indicates the right angle.",$1$,$5$,$7$,$\sqrt{7}$,B,,"The Pythagorean theorem states that for a right triangle with legs of length $a$ and $b$ and a hypotenuse of length $c$, the relationship is $a^2 + b^2 = c^2$.","In the given triangle, the lengths of the two legs are $a=3$ and $b=4$. We need to find the length of the hypotenuse, $c$.",Substitute the values of the legs into the Pythagorean theorem: $3^2 + 4^2 = c^2$.,Calculate the squares of the numbers: $9 + 16 = c^2$.,Add the results: $25 = c^2$.,"Take the square root of both sides to solve for $c$. Since length must be positive, we take the principal root: $c = \sqrt{25} = 5$. The length of the hypotenuse is 5."
Math,Geometry and Trigonometry,Right triangles and trigonometry,Easy,"For the right triangle shown, what is the value of $\cos(A)$?","A right triangle ABC is shown. The right angle is at vertex C. Vertex A is the top vertex, and vertex B is the rightmost vertex. Side AC (the leg adjacent to angle A) has a length of 8. Side BC (the leg opposite angle A) has a length of 15. Side AB (the hypotenuse) has a length of 17. The angle at vertex A is labeled 'A'. A square symbol is at vertex C.",$\frac{8}{17}$,$\frac{15}{17}$,$\frac{8}{15}$,$\frac{15}{8}$,A,,The cosine of an angle in a right triangle is defined as the ratio of the length of the adjacent side to the length of the hypotenuse (CAH: Cosine = Adjacent / Hypotenuse).,"For angle A, the adjacent side is the leg next to it that is not the hypotenuse. In triangle ABC, this is side AC, which has a length of 8.","The hypotenuse is the side opposite the right angle. In triangle ABC, this is side AB, which has a length of 17.","Now, we form the ratio for $\cos(A)$: $\cos(A) = \frac{\text{Adjacent}}{\text{Hypotenuse}} = \frac{8}{17}$.",,
Math,Geometry and Trigonometry,Right triangles and trigonometry,Easy,Which equation correctly represents the relationship between the side lengths of the triangle below?,A right triangle is shown. The vertices are not labeled. The vertical leg has a length labeled as $y$. The horizontal leg has a length of 9. The hypotenuse has a length of 14. A right angle symbol is shown at the intersection of the two legs.,$y + 9 = 14$,$y^2 + 9^2 = 14^2$,$y^2 + 14^2 = 9^2$,$y^2 = 9^2 - 14^2$,B,,The Pythagorean theorem describes the relationship between the side lengths of a right triangle. It states that the square of the length of the hypotenuse (the side opposite the right angle) is equal to the sum of the squares of the lengths of the two legs.,"The formula for the Pythagorean theorem is $a^2 + b^2 = c^2$, where $a$ and $b$ are the lengths of the legs and $c$ is the length of the hypotenuse.","In the given triangle, the legs have lengths $y$ and 9. The hypotenuse has a length of 14.",Substituting these values into the formula gives $y^2 + 9^2 = 14^2$.,,
Math,Geometry and Trigonometry,Right triangles and trigonometry,Easy,"In the right triangle shown, what is the value of $\sin(x^{\circ})$?",A right triangle is displayed. The right angle is on the bottom right corner. The bottom horizontal side has length 12. The vertical side on the right has length 5. The hypotenuse has length 13. An angle in the top vertex is labeled $x^{\circ}$.,$\frac{5}{13}$,$\frac{12}{13}$,$\frac{5}{12}$,$\frac{12}{5}$,B,,The sine of an angle in a right triangle is defined as the ratio of the length of the opposite side to the length of the hypotenuse (SOH: Sine = Opposite / Hypotenuse).,"Identify the angle in question, which is $x^{\circ}$.",Identify the side opposite to angle $x^{\circ}$. This is the side that does not touch the angle's vertex. Its length is 12.,"Identify the hypotenuse, which is the side opposite the right angle. Its length is 13.",Form the ratio for $\sin(x^{\circ})$: $\sin(x^{\circ}) = \frac{\text{Opposite}}{\text{Hypotenuse}} = \frac{12}{13}$.,
Math,Geometry and Trigonometry,Right triangles and trigonometry,Easy,"The hypotenuse of a right triangle is 10 inches long, and one of its legs is 6 inches long. What is the length of the other leg?",A right triangle is shown. The hypotenuse is labeled with length 10. One of the legs is labeled with length 6. The other leg is labeled with a question mark.,$4\text{ in.}$,$8\text{ in.}$,$16\text{ in.}$,$\sqrt{136}\text{ in.}$,B,,"Let the lengths of the legs be $a$ and $b$, and the length of the hypotenuse be $c$. The Pythagorean theorem states $a^2 + b^2 = c^2$.","We are given the length of the hypotenuse, $c=10$, and the length of one leg, say $a=6$. We need to find the length of the other leg, $b$.",Substitute the known values into the Pythagorean theorem: $6^2 + b^2 = 10^2$.,Calculate the squares: $36 + b^2 = 100$.,"To solve for $b^2$, subtract 36 from both sides of the equation: $b^2 = 100 - 36$, which simplifies to $b^2 = 64$.","Take the square root of both sides to find $b$. Since length must be positive, $b = \sqrt{64} = 8$. The length of the other leg is 8 inches."
Math,Geometry and Trigonometry,Right triangles and trigonometry,Easy,"For the right triangle below, what is the value of $\tan(B)$?","A right triangle ABC is shown with a right angle at C. Vertex A is at the top, C is at the bottom left, and B is at the bottom right. The vertical side AC is labeled 9. The horizontal side BC is labeled 12. The hypotenuse AB is labeled 15. The angle at vertex B is marked 'B'.",$\frac{9}{12}$,$\frac{12}{9}$,$\frac{9}{15}$,$\frac{12}{15}$,A,,The tangent of an angle in a right triangle is the ratio of the length of the opposite side to the length of the adjacent side (TOA: Tangent = Opposite / Adjacent).,The angle in question is angle B.,"The side opposite angle B is side AC, which has a length of 9.","The side adjacent to angle B is side BC, which has a length of 12.",The ratio for $\tan(B)$ is $\frac{\text{Opposite}}{\text{Adjacent}} = \frac{9}{12}$.,
Math,Geometry and Trigonometry,Right triangles and trigonometry,Easy,A right triangle has legs of length 7 cm and 8 cm. Which of the following is closest to the length of the hypotenuse?,A right triangle with legs explicitly labeled as 'Leg = 7 cm' and 'Leg = 8 cm'. The hypotenuse is labeled 'Hypotenuse = ?'. A right angle symbol is present. The triangle is oriented with the 8 cm leg as its base.,$1.0\text{ cm}$,$10.6\text{ cm}$,$15.0\text{ cm}$,$113.0\text{ cm}$,B,,"The Pythagorean theorem, $a^2 + b^2 = c^2$, relates the lengths of the legs ($a$ and $b$) and the hypotenuse ($c$) of a right triangle.",The lengths of the legs are given as $a=7$ and $b=8$.,Substitute these values into the theorem: $7^2 + 8^2 = c^2$.,Calculate the squares: $49 + 64 = c^2$.,Add the values: $113 = c^2$.,Take the square root of 113 to find $c$: $c = \sqrt{113} \approx 10.63$. The closest value among the choices is 10.6 cm.
Math,Geometry and Trigonometry,Right triangles and trigonometry,Easy,"In the triangle shown, which trigonometric function of $\theta$ is equal to $\frac{5}{13}$?",A right triangle is shown. The vertices are not labeled. The right angle is at the bottom right. The bottom horizontal leg has a length of 12. The right vertical leg has a length of 5. The hypotenuse has a length of 13. The angle at the leftmost vertex is labeled $\theta$.,$\sin(\theta)$,$\cos(\theta)$,$\tan(\theta)$,$\sec(\theta)$,A,,We need to identify which trigonometric ratio involving angle $\theta$ equals $\frac{5}{13}$. Let's recall the basic trigonometric ratios (SOH CAH TOA).,"For angle $\theta$, the side opposite has a length of 5. The side adjacent has a length of 12. The hypotenuse has a length of 13.","Let's check each function: 
 $\sin(\theta) = \frac{\text{Opposite}}{\text{Hypotenuse}} = \frac{5}{13}$.
 $\cos(\theta) = \frac{\text{Adjacent}}{\text{Hypotenuse}} = \frac{12}{13}$.
 $\tan(\theta) = \frac{\text{Opposite}}{\text{Adjacent}} = \frac{5}{12}$.","The given ratio is $\frac{5}{13}$, which matches our calculation for $\sin(\theta)$.",,
Math,Geometry and Trigonometry,Right triangles and trigonometry,Easy,The triangle shown is a 45-45-90 triangle. What is the value of $x$?,An isosceles right triangle is shown. The two legs are marked with tick marks to show they are equal in length. One leg is labeled with length 5. The hypotenuse is labeled with length $x$. The two acute angles are both labeled $45^{\circ}$. A right angle symbol is also present.,$5$,$\frac{5}{\sqrt{2}}$,$5\sqrt{2}$,$10$,C,,"In a 45-45-90 triangle, the two legs are equal in length, and the hypotenuse is $\sqrt{2}$ times the length of a leg.",The relationship is: hypotenuse = leg $\times \sqrt{2}$.,"From the figure, the length of one leg is 5.",Substitute the leg length into the formula: $x = 5 \times \sqrt{2}$.,"Thus, the value of $x$ is $5\sqrt{2}$.",
Math,Geometry and Trigonometry,Right triangles and trigonometry,Easy,The triangle shown is a 30-60-90 triangle. What is the value of $y$?,A 30-60-90 right triangle is shown. The hypotenuse is labeled 18. The angle opposite the shortest side is labeled $30^{\circ}$. The angle opposite the longer leg is labeled $60^{\circ}$. The shortest side (opposite the $30^{\circ}$ angle) is labeled $y$. The longer leg is not labeled. A right angle symbol is present.,$9$,$9\sqrt{3}$,$6\sqrt{3}$,$36$,A,,"In a 30-60-90 triangle, the side lengths have a specific ratio. The side opposite the $30^{\circ}$ angle (the short leg) is half the length of the hypotenuse.",The relationship is: short leg = $\frac{1}{2} \times$ hypotenuse.,"From the figure, the hypotenuse has a length of 18. The side labeled $y$ is the short leg because it is opposite the $30^{\circ}$ angle.",Substitute the hypotenuse length into the formula: $y = \frac{1}{2} \times 18$.,Calculate the value of $y$: $y = 9$.,
